"File","Condition","Power","Frequency"
111,"encoding",29.7115027976967,11.926
111,"er",30.769453037099,13
111,"lr",30.004398814114,13
111,"retr",28.8542157843796,11.926
112,"encoding",28.2577310091275,11.926
112,"er",27.5245021023891,11.926
112,"lr",28.4108512906167,9.207
112,"retr",28.4879436626884,9.207
113,"encoding",31.4413389736053,10.036
113,"er",31.4436869619522,10.036
113,"lr",31.5574809114364,10.036
113,"retr",31.1178899866758,10.036
135,"encoding",29.5774671248632,9.207
135,"er",30.550086024857,13
135,"lr",29.6306479300017,11.926
135,"retr",29.6451498060771,9.207
192,"encoding",28.2270898139189,11.926
192,"er",30.3086334547244,10.94
192,"lr",31.1894738466876,10.94
192,"retr",28.9545991998582,10.036
203,"encoding",31.0287208580724,9.207
203,"er",31.4036572538394,10.94
203,"lr",31.1135520381412,10.036
203,"retr",30.879583068439,9.207
213,"encoding",29.7551218725782,9.207
213,"er",29.8412451672322,13
213,"lr",29.9315200111269,11.926
213,"retr",30.5520366172605,9.207
218,"encoding",28.6045392486883,9.207
218,"er",29.0959970369013,10.94
218,"lr",30.0737805961943,10.036
218,"retr",28.3288848023797,9.207
252,"encoding",29.2312539897452,11.926
252,"er",30.7695315504183,11.926
252,"lr",29.3087225624145,10.036
252,"retr",29.4348073473094,10.036
298,"encoding",31.3945425835868,10.94
298,"er",29.9638849003439,13
298,"lr",30.2481239919648,10.94
298,"retr",30.6931965605275,10.94
315,"encoding",27.9745565239698,9.207
315,"er",28.7242022949308,9.207
315,"lr",28.4141662673925,10.036
315,"retr",27.0819296469032,10.94
316,"encoding",30.7286179182591,10.036
316,"er",30.4826294154491,10.94
316,"lr",31.2523499281389,10.036
316,"retr",30.6083492572272,9.207
323,"encoding",30.7031004692615,10.94
323,"er",32.511595037122,11.926
323,"lr",31.7453353813639,11.926
323,"retr",30.3065547069943,11.926
353,"encoding",28.2876390718464,11.926
353,"er",30.4497424490055,10.94
353,"lr",30.584486647593,10.94
353,"retr",28.9239652337289,9.207
362,"encoding",29.7307545442187,9.207
362,"er",29.2615394902044,10.94
362,"lr",30.097118262632,10.94
362,"retr",29.7260925730821,9.207
372,"encoding",28.2882774882059,9.207
372,"er",28.8959908284129,10.94
372,"lr",28.8269401774606,9.207
372,"retr",28.7882303558829,9.207
385,"encoding",23.9834669880102,9.207
385,"er",21.8246188862611,13
385,"lr",20.8269439829364,9.207
385,"retr",21.9696434137867,13
404,"encoding",28.8120863978628,9.207
404,"er",30.7348520969512,10.94
404,"lr",30.252753016778,10.94
404,"retr",28.7029667553468,9.207
455,"encoding",29.0239048143248,10.94
455,"er",29.7465061568725,11.926
455,"lr",29.2550328550415,10.94
455,"retr",28.9459721222734,9.207
468,"encoding",27.3733349743075,9.207
468,"er",27.353197453172,9.207
468,"lr",29.2368269765816,10.036
468,"retr",27.9929831696816,9.207
505,"encoding",30.3185122660839,9.207
505,"er",30.0436429650115,9.207
505,"lr",29.2955596985929,9.207
505,"retr",29.7982719951186,9.207
537,"encoding",31.6259392873889,10.94
537,"er",31.2492096090902,10.94
537,"lr",30.6267988415925,10.94
537,"retr",30.0786492136082,10.94
547,"encoding",30.302348038027,10.036
547,"er",29.9650151412097,10.036
547,"lr",29.2809591250397,10.94
547,"retr",30.0036723205603,10.036
576,"encoding",28.4399097038623,9.207
576,"er",27.0604795575897,10.94
576,"lr",26.248202722338,9.207
576,"retr",28.2968577147368,9.207
583,"encoding",27.6992364821812,9.207
583,"er",25.9305800815452,10.94
583,"lr",26.3068439542686,9.207
583,"retr",26.6072809488379,9.207
637,"encoding",25.4088672139068,9.207
637,"er",26.7962101288978,11.926
637,"lr",25.956144819022,11.926
637,"retr",25.5472843727226,9.207
674,"encoding",31.2551135421533,10.036
674,"er",31.0802159559167,10.036
674,"lr",30.5172774340596,9.207
674,"retr",30.0793257419826,10.036
705,"encoding",30.8713272402099,10.036
705,"er",30.3095977509344,10.036
705,"lr",30.2944354143124,10.036
705,"retr",30.0772324781492,10.036
758,"encoding",28.7988518194481,9.207
758,"er",27.8290255723837,9.207
758,"lr",27.5334796248895,9.207
758,"retr",29.060872976675,9.207
763,"encoding",29.4411087033834,9.207
763,"er",28.5862399557646,9.207
763,"lr",28.9274756197999,9.207
763,"retr",29.8764384049422,9.207
775,"encoding",29.7162422063007,9.207
775,"er",30.5876857055023,11.926
775,"lr",29.465498954411,9.207
775,"retr",30.0134593600074,10.036
836,"encoding",28.7993502892512,9.207
836,"er",29.2147978619252,10.94
836,"lr",29.5200601942328,11.926
836,"retr",28.9182251926398,9.207
847,"encoding",29.548340589761,10.94
847,"er",31.0533106454521,13
847,"lr",29.869202558931,11.926
847,"retr",29.6591550454912,9.207
867,"encoding",30.3502634902885,10.94
867,"er",30.4308166503519,11.926
867,"lr",30.0576767896979,11.926
867,"retr",29.6486642287223,11.926
922,"encoding",30.3673005147682,10.036
922,"er",29.8448524434971,10.94
922,"lr",29.7063090786172,10.036
922,"retr",29.2511306534387,10.036
996,"encoding",28.9345377077454,9.207
996,"er",27.0990153010244,9.207
996,"lr",26.6167298951739,9.207
996,"retr",27.4220971311754,9.207
